function_ID,run_ID,dim,best_fitness,time_period,communication_percentage,total_FEs,node_num,total_pop_size,island_num,interval,EA_parameters
23,1,100,348.235,26470,0,14057984,32,4,256
24,1,100,375.324,26470,0,18889728,32,4,256
25,1,100,255.065,26470,0,16067072,32,4,256
26,1,100,212.903,26470,0,8111616,32,4,256
27,1,100,1419.23,26470,0,8132352,32,4,256
28,1,100,2102.56,26470,0,12011264,32,4,256
29,1,100,2946.27,26470,0,14279424,32,4,256
30,1,100,18539.7,26470,0,15984640,32,4,256
23,2,100,348.235,26470,0,13677568,32,4,256
24,2,100,376.289,26470,0,18767360,32,4,256
25,2,100,250.42,26470,0,15933440,32,4,256
26,2,100,209.849,26470,0,8004096,32,4,256
27,2,100,1512.84,26470,0,8163840,32,4,256
28,2,100,2174.33,26470,0,12014592,32,4,256
29,2,100,4440.88,26470,0,14183936,32,4,256
30,2,100,19346,26470,0,16015616,32,4,256
23,3,100,348.235,26470,0,13753600,32,4,256
24,3,100,381.268,26470,0,18570752,32,4,256
25,3,100,253.401,26470,0,15816448,32,4,256
26,3,100,211.891,26470,0,8029952,32,4,256
27,3,100,992.996,26470,0,8123904,32,4,256
28,3,100,2277.23,26470,0,11999744,32,4,256
29,3,100,3055.14,26470,0,14203392,32,4,256
30,3,100,27608.3,26470,0,15694336,32,4,256
23,4,100,348.235,26470,0,13758464,32,4,256
24,4,100,377.183,26470,0,18582272,32,4,256
25,4,100,262.599,26470,0,15811840,32,4,256
26,4,100,211.351,26470,0,8042240,32,4,256
27,4,100,1095.26,26470,0,8112896,32,4,256
28,4,100,2219.37,26470,0,11985920,32,4,256
29,4,100,4407.64,26470,0,14191104,32,4,256
30,4,100,16219.1,26470,0,15685120,32,4,256
23,5,100,348.235,26470,0,13757440,32,4,256
24,5,100,379.938,26470,0,18578688,32,4,256
25,5,100,251.56,26470,0,15808512,32,4,256
26,5,100,210.955,26470,0,8035840,32,4,256
27,5,100,1338.25,26470,0,8117248,32,4,256
28,5,100,2312.37,26470,0,11994624,32,4,256
29,5,100,3063.03,26470,0,14183168,32,4,256
30,5,100,17980.1,26470,0,15720192,32,4,256
23,6,100,348.235,26470,0,13759744,32,4,256
24,6,100,375.863,26470,0,18585600,32,4,256
25,6,100,262.025,26470,0,15832832,32,4,256
26,6,100,216.338,26470,0,8031232,32,4,256
27,6,100,1415.71,26470,0,8106240,32,4,256
28,6,100,2333.03,26470,0,11995904,32,4,256
29,6,100,4865.02,26470,0,14183168,32,4,256
30,6,100,25055,26470,0,15705344,32,4,256
23,7,100,348.235,26470,0,13796864,32,4,256
